ISO3,Country,Dataset,Source,Type,TypeDetail,Access,TemporalStart,TemporalEnd,Frequency,Coverage,URL,Resolution,Quality,Notes,APIAvailable,Origins
ARE,United Arab Emirates,Abu Dhabi Spatial Data Infrastructure (AD-SDI) DEM,Abu Dhabi Systems and Information Centre,Elevation / Terrain (DEM),,Restricted (requires registration and approval),Current,,Irregular updates,High-quality authoritative emirate-level data for Abu Dhabi; likely the best available for that emirate with official government backing[1][2][3],https://arcgis.sdi.abudhabi.ae/portal/home/,,5,,Yes (ArcGIS REST API through portal),TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,ADNOC Pipeline GIS Data,Abu Dhabi National Oil Company (ADNOC Gas Processing),Infrastructure - Pipelines,,Highly Restricted (internal ADNOC use; external access requires formal agreements),Current,,Continuous updates from surveys and construction,Sub-meter survey accuracy (±15cm tolerance in recent surveys),,Sub-meter survey accuracy (±15cm tolerance in recent surveys),5,,Internal GIS systems only,TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,Airbus Defense and Space,Airbus Intelligence,Satellite Imagery (Commercial & Free),,Commercial/Purchase,Archive + tasking,,Tasking available (daily revisit for Pléiades constellation),"50 cm (Pléiades Neo, Pléiades), 1.5m (SPOT 6/7)",https://www.airbus.com/en/products-services/space/earth-observation/satellite-imagery,"50 cm (Pléiades Neo, Pléiades), 1.5m (SPOT 6/7)",4,,"Yes (OneAtlas API, available through UP42)",TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,Archaeological and Heritage Sites,Ministry of Culture and Youth / Department of Culture and Tourism Abu Dhabi,Additional datasets for UAE,,Restricted (cultural heritage protection),Current,,As sites are registered,Point and polygon locations,,Point and polygon locations,3,,No,TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,British Geological Survey UAE Geological Maps,British Geological Survey (commissioned by UAE Ministry of Energy),Geology / Soil,,Restricted/Purchase (contact BGS),Completed 1970s-1990s (historical),,Static (historical product),"1:250,000 scale",https://webapps.bgs.ac.uk/data/Publications/series.html?code=RS,"1:250,000 scale",3,,No,TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,Copernicus DEM GLO-30,European Space Agency / Copernicus Programme,Elevation / Terrain (DEM),,Open/Free (GLO-90 and GLO-30),2011-2020+,,Periodic (stable product),30m (GLO-30 / 1 arc-second),https://dataspace.copernicus.eu/explore-data/data-collections/copernicus-contributing-missions/collections-description/COP-DEM,30m (GLO-30 / 1 arc-second),4,,"Yes (OData API, S3 bucket access)",TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,Dubai Municipality Administrative Boundaries,Dubai Municipality,Administrative Boundaries,,Restricted (requires approval),Current (updated monthly),,Monthly (15th of each month),"Community, sector, and parcel level",https://www.dubaipulse.gov.ae/,"Community, sector, and parcel level",5,,Yes (Dubai Pulse API),TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,Dubai Statistics Center,Dubai Statistics Center,Population / Demographics,,Open (some datasets),Current,,Annual updates,Detailed demographic data for Dubai emirate; good spatial linkage to administrative boundaries[46],https://www.dsc.gov.ae/,,4,,Limited,TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,ERA5 Reanalysis,European Centre for Medium-Range Weather Forecasts (ECMWF) via Copernicus,Climate / Weather,,Open/Free,1940-present,,Monthly updates (2-3 month lag),0.25° (~25-30 km),https://cds.climate.copernicus.eu/,0.25° (~25-30 km),5,,Yes (CDS API),TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,ESA WorldCover 2021,European Space Agency,Land Cover / Land Use,,Open/Free,2021 (2020 also available),,Annual,10m,https://worldcover2020.esa.int,10m,5,,Yes (available through Google Earth Engine and direct download),TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,FAO Harmonized World Soil Database,Food and Agriculture Organization,Geology / Soil,,Open/Free,Based on various sources (1960s-2000s),,Static,1 km,http://www.fao.org/soils-portal/,1 km,3,,No,TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,Flash Flood Hazard / Wadi Flow Paths,Derived from DEM analysis / NCM studies,Additional datasets for UAE,,Can be derived or requested from NCM/MOEI,Based on historical rainfall and DEM,,Can be updated as better DEMs become available,"Variable (DEM-dependent, typically 30m from Copernicus)",,"Variable (DEM-dependent, typically 30m from Copernicus)",3,,No,TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,GADM,GADM project,Administrative Boundaries,,Open/Free (for non-commercial use),Current (version 4.1),,Irregular (major versions every few years),Country to level 2 (emirate level for UAE),https://gadm.org/,Country to level 2 (emirate level for UAE),4,,No (direct download),TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,GeoDubai DEM,Dubai Municipality GIS Center,Elevation / Terrain (DEM),,Restricted (requires approval through GeoDubai portal),"Current, updated regularly",,Continuous updates to base map,High-quality official data for Dubai emirate; integrated with Digital Twin initiative including 3D building models[4][5],https://geodubai.dm.gov.ae/,,4,,Yes (REST API available),TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,Global Surface Water Explorer,European Commission JRC,Hydrology / Water,,Open/Free,1984-present,,Annual updates,30m,https://global-surface-water.appspot.com/,30m,4,,Yes (Google Earth Engine),TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,Google Dynamic World (Sentinel-2),Google/WRI,Land Cover / Land Use,,Open/Free,2015-present (near real-time),,Continuous (every 2-5 days with Sentinel-2),10m,,10m,3,,Yes (Google Earth Engine),TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,Gulf Countries DEM,NASA/USGS via Humanitarian Data Exchange,Elevation / Terrain (DEM),,Open/Free,2000,,Static,Coarse resolution limits utility for detailed pipeline routing; useful for regional overview only[8],https://data.humdata.org/dataset/gulf-countries-elevation-model,,3,,No,TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,HERE Maps,HERE Technologies,Infrastructure - Roads,,Commercial/Purchase (licensing required),Current,,Continuous (quarterly major releases),Sub-meter accuracy in urban areas,https://www.here.com/,Sub-meter accuracy in urban areas,5,,"Yes (HERE REST APIs - Maps, Routing, Traffic)",TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,HydroSHEDS,USGS / Conservation International,Hydrology / Water,,Open/Free,Based on SRTM 2000 data,,Static,15 arc-seconds (~450m at equator),https://www.hydrosheds.org/,15 arc-seconds (~450m at equator),3,,No (direct download),TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,LandScan Global,Oak Ridge National Laboratory,Population / Demographics,,Free (registration required) for select countries; commercial for others,Annual (2000-present),,Annual,Ambient population model (daytime distribution); good for infrastructure planning; moderate resolution,https://landscan.ornl.gov/,,4,,No,TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,Maxar High-Resolution Imagery,"Maxar Technologies (WorldView constellation, Legion satellites)",Satellite Imagery (Commercial & Free),,Commercial/Purchase (licensing required),Archive from 2000s + tasking,,Tasking available (up to 15 revisits/day for some locations),"30-50 cm (commercial), up to 15 cm (government programs)",https://www.maxar.com/,"30-50 cm (commercial), up to 15 cm (government programs)",5,,"Yes (through partners like UP42, or direct Maxar API)",TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,Military Zones and Restricted Areas,UAE Armed Forces / Ministry of Defence,Additional datasets for UAE,,Highly Restricted (security classification),Current,,As restrictions change,Polygon boundaries,,Polygon boundaries,3,,No,TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,National Water Resources Database,Ministry of Climate Change and Environment / UAE University research,Hydrology / Water,,Restricted/Academic,Historical to current,,Ongoing research updates,Variable,,Variable,3,,No,TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,OneGeology,International geological surveys collaboration,Geology / Soil,,Open/Free (web services),Variable,,Depends on national survey contributions,Variable by country (UAE limited contribution),http://www.onegeology.org/,Variable by country (UAE limited contribution),3,,Yes (WMS/WFS services),TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,OpenInfraMap / OpenStreetMap Utilities,OpenStreetMap Community,"Infrastructure - Utilities (Power, Telecom)",,Open/Free,Current,,Community-driven,Variable,https://openinframap.org/,Variable,3,,Yes (Overpass API),TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,OpenStreetMap UAE Pipelines,OpenStreetMap Community,Infrastructure - Pipelines,,Open/Free,Current,,Community-driven,Variable,https://www.openstreetmap.org/,Variable,3,,Yes (Overpass API),TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,OpenStreetMap UAE Railways,OpenStreetMap Community,Infrastructure - Railways,,Open/Free,Current,,Community-driven,Variable,https://www.openstreetmap.org/,Variable,3,,Yes (Overpass API),TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,OpenStreetMap UAE Roads,OpenStreetMap Community,Infrastructure - Roads,,Open/Free (ODbL license),Current (continuously updated),,Real-time (crowdsourced),Variable (sub-meter where traced),https://www.openstreetmap.org/,Variable (sub-meter where traced),5,,"Yes (Overpass API, OSM API)",TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,Planet Labs,Planet Labs,Satellite Imagery (Commercial & Free),,Commercial/Purchase (subscription-based),"Daily global coverage (PlanetScope), archive + tasking (SkySat)",,"Daily (PlanetScope), tasking available (SkySat)","3-5m (PlanetScope), 50 cm (SkySat)",https://www.planet.com/,"3-5m (PlanetScope), 50 cm (SkySat)",4,,Yes (Planet API),TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,Sabkha (Salt Flat) Mapping,Various research institutions and geological surveys,Additional datasets for UAE,,Academic/Restricted,Various research periods,,Research-dependent,Variable (regional to detailed studies),,Variable (regional to detailed studies),3,,No,TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,Sand Dune and Aeolian Features,Remote sensing analysis and field surveys,Additional datasets for UAE,,Can be derived from satellite imagery,Current,,Dynamic features requiring periodic monitoring,Variable (derived from satellite imagery and DEM),,Variable (derived from satellite imagery and DEM),3,,No specific API (derive from imagery),TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,Seismic Hazard Data,National Seismic Network (operated by USGS for UAE),Additional datasets for UAE,,Limited (contact NCM or relevant authorities),Historical seismicity records,,"Continuous monitoring, hazard maps updated periodically",Station network data and regional hazard maps,,Station network data and regional hazard maps,2,,Limited,TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,Sentinel-2,European Space Agency / Copernicus Programme,Satellite Imagery (Commercial & Free),,Open/Free,2015-present,,5-day revisit (2 satellites),"10m (RGB, NIR), 20m (red edge, SWIR), 60m (atmospheric)",https://dataspace.copernicus.eu/,"10m (RGB, NIR), 20m (red edge, SWIR), 60m (atmospheric)",5,,"Yes (Copernicus Data Space API, Google Earth Engine, AWS)",TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,TomTom MultiNet,TomTom,Infrastructure - Roads,,Commercial/Purchase,Current,,Quarterly updates,Sub-meter in urban areas,https://www.tomtom.com/,Sub-meter in urban areas,3,,"Yes (TomTom Maps API, Traffic API)",TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,UAE Census Data,Federal Competitiveness and Statistics Centre,Population / Demographics,,Restricted (some data via 1Map platform),"2005, 2015, 2021+ censuses",,"Census every 10 years, estimates annually",Official census data; most accurate population counts and demographics; limited spatial granularity in published data[43][42],https://www.fcsc.gov.ae/,,3,,Limited (through 1Map ArcGIS services),TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,UAE Electricity Transmission Network,Federal Electricity and Water Authority (FEWA) / Emirates utilities,"Infrastructure - Utilities (Power, Telecom)",,Restricted (requires formal utility coordination),Current,,As infrastructure changes,Engineering grade,,Engineering grade,3,,No,TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,UAE Federal Competitiveness and Statistics Centre (FCSC) - 1Map,Federal Competitiveness and Statistics Centre,Administrative Boundaries,,Restricted (portal registration required),Current,,Regular updates,"Multi-level (emirate, district, sub-district, urban areas)",https://u.ae/en/about-the-uae/digital-uae/data/geospatial-data-platforms/1map,"Multi-level (emirate, district, sub-district, urban areas)",3,,Yes (ArcGIS-based web services),TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,UAE Government Pipeline Registry,Ministry of Energy and Infrastructure,Infrastructure - Pipelines,,Restricted (requires formal request and justification),Current,,Regulatory reporting basis,Variable,https://www.moei.gov.ae/,Variable,3,,No,TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,UAE Groundwater Vulnerability Maps,Ministry of Energy and Infrastructure / Environment Agency Abu Dhabi,Additional datasets for UAE,,Restricted (formal request required),Based on hydrogeological map (2023),,Major updates every few years,Variable,,Variable,3,,No,TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,UAE Hydrogeological Map,Ministry of Energy and Infrastructure & Environment Agency Abu Dhabi,Hydrology / Water,,Restricted (requires formal request),2023 (latest release),,Major updates every few years,National scale,https://www.moei.gov.ae/,National scale,3,,No,TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,UAE National Center of Meteorology,National Center of Meteorology UAE,Climate / Weather,,Restricted (requires API registration and approval),Historical archive and current/forecast,,"Real-time (10-minute updates), daily archives",Station-based and gridded products,https://api.ncm.gov.ae/documentation/,Station-based and gridded products,5,,Yes (NCM API v2.0 with authentication),TIER1_BEST_DATASETS.csv
